Gene stable ID,Gene name,Gene type
ENSG00000224610,AC108879.1,lncRNA
ENSG00000249386,MTCO2P9,unprocessed_pseudogene
ENSG00000226629,LINC00974,lncRNA
ENSG00000251223,MTCO1P9,unprocessed_pseudogene
ENSG00000248907,MTND2P33,unprocessed_pseudogene
ENSG00000235304,LINC01281,lncRNA
ENSG00000120519,SLC10A7,protein_coding
ENSG00000251407,MTND1P22,unprocessed_pseudogene
ENSG00000251244,AC107208.1,lncRNA
ENSG00000236747,LINC01282,lncRNA
ENSG00000177875,CCDC184,protein_coding
ENSG00000234191,LINC01283,lncRNA
ENSG00000279875,AC074029.4,TEC
ENSG00000172640,OR10AD1,protein_coding
ENSG00000171403,KRT9,protein_coding
ENSG00000269514,AC024257.3,lncRNA
ENSG00000228232,GAPDHP1,processed_pseudogene
ENSG00000159055,MIS18A,protein_coding
ENSG00000227256,MIS18A-AS1,lncRNA
ENSG00000270759,AC091810.1,processed_pseudogene
ENSG00000261435,AL592164.1,lncRNA
ENSG00000214047,RPS11P7,processed_pseudogene
ENSG00000258234,AC024257.1,lncRNA
ENSG00000285709,AL592164.2,lncRNA
ENSG00000275228,AC024257.5,lncRNA
ENSG00000187166,H1-7,protein_coding
ENSG00000223486,AC092198.1,lncRNA
ENSG00000258273,AC024257.2,unprocessed_pseudogene
ENSG00000126457,PRMT1,protein_coding
ENSG00000268677,AC011495.3,lncRNA
ENSG00000169169,CPT1C,protein_coding
ENSG00000275056,AC020663.3,lncRNA
ENSG00000118900,UBN1,protein_coding
ENSG00000224420,ADM5,protein_coding
ENSG00000186847,KRT14,protein_coding
ENSG00000140632,GLYR1,protein_coding
ENSG00000142207,URB1,protein_coding
ENSG00000170262,MRAP,protein_coding
ENSG00000232623,MRAP-AS1,lncRNA
ENSG00000273434,OR8S21P,unprocessed_pseudogene
ENSG00000257792,OR5BJ1P,unprocessed_pseudogene
ENSG00000226413,OR8T1P,unprocessed_pseudogene
ENSG00000257735,AC090115.1,lncRNA
ENSG00000258024,OR5BT1P,unprocessed_pseudogene
ENSG00000167528,ZNF641,protein_coding
ENSG00000273765,AC024257.4,lncRNA
ENSG00000257763,OR5BK1P,unprocessed_pseudogene
ENSG00000143147,GPR161,protein_coding
ENSG00000270755,AL136141.1,lncRNA
ENSG00000253843,AC104989.1,processed_pseudogene
ENSG00000253654,AC105029.1,processed_pseudogene
ENSG00000224594,RPL29P19,processed_pseudogene
ENSG00000144668,ITGA9,protein_coding
ENSG00000236411,NDUFAF4P3,processed_pseudogene
ENSG00000235257,ITGA9-AS1,lncRNA
ENSG00000235482,RPL21P135,processed_pseudogene
ENSG00000279881,AC041040.1,TEC
ENSG00000253140,AC026904.1,lncRNA
ENSG00000253608,AC022915.2,lncRNA
ENSG00000233858,LINC02599,lncRNA
ENSG00000253455,AC022915.1,lncRNA
ENSG00000253702,LINC02847,lncRNA
ENSG00000253688,AC026904.2,lncRNA
ENSG00000253892,AC022915.3,lncRNA
ENSG00000280183,AC067852.4,TEC
ENSG00000141699,RETREG3,protein_coding
ENSG00000131462,TUBG1,protein_coding
ENSG00000139223,ANP32D,protein_coding
ENSG00000143155,TIPRL,protein_coding
ENSG00000177627,C12orf54,protein_coding
ENSG00000240443,RPS10P20,transcribed_processed_pseudogene
ENSG00000258121,AC089987.2,lncRNA
ENSG00000237049,RPL34P1,processed_pseudogene
ENSG00000237131,AL021397.1,processed_pseudogene
ENSG00000148358,GPR107,protein_coding
ENSG00000284723,OR8S1,protein_coding
ENSG00000197376,AC089987.1,transcribed_processed_pseudogene
ENSG00000164116,GUCY1A1,protein_coding
ENSG00000260244,AC104083.1,lncRNA
ENSG00000198678,OR5BS1P,protein_coding
ENSG00000167531,LALBA,protein_coding
ENSG00000214262,ANKRD36BP1,transcribed_processed_pseudogene
ENSG00000213064,SFT2D2,protein_coding
ENSG00000183337,BCOR,protein_coding
ENSG00000034239,EFCAB1,protein_coding
ENSG00000224709,OR11M1P,unitary_pseudogene
ENSG00000196979,GPRACR,lncRNA
ENSG00000107130,NCS1,protein_coding
ENSG00000267189,ATP5MGP7,processed_pseudogene
ENSG00000267132,HMGB3P27,processed_pseudogene
ENSG00000279724,AC005086.3,pseudogene
ENSG00000273943,CNOT3,protein_coding
ENSG00000274700,AC091304.7,protein_coding
ENSG00000288547,AC080128.3,protein_coding
ENSG00000281825,AL355480.4,pseudogene
ENSG00000221662,MIR1290,miRNA
ENSG00000276421,AC012314.12,protein_coding
ENSG00000274638,NLRP2,protein_coding
ENSG00000198974,MIR30E,miRNA
ENSG00000207606,MIR554,miRNA
ENSG00000283634,MIR3155B,miRNA
ENSG00000265258,MIR4686,miRNA
ENSG00000278073,MIR6726,miRNA
ENSG00000284402,MIR7107,miRNA
ENSG00000277359,RPS9,protein_coding
ENSG00000266188,AC099677.6,miRNA
ENSG00000277943,CCL4,protein_coding
ENSG00000207952,MIR624,miRNA
ENSG00000284442,MIR2110,miRNA
ENSG00000274734,ARHGAP11B,protein_coding
ENSG00000283497,MIR3160-2,miRNA
ENSG00000207989,MIR493,miRNA
ENSG00000264101,MIR4689,miRNA
ENSG00000266016,MIR548Z,miRNA
ENSG00000263676,MIR4632,miRNA
ENSG00000211491,MIR320D1,miRNA
ENSG00000266611,MIR4703,miRNA
ENSG00000221036,MIR1193,miRNA
ENSG00000199157,MIR208A,miRNA
ENSG00000264309,MIR4694,miRNA
ENSG00000207961,MIR496,miRNA
ENSG00000221052,MIR1266,miRNA
ENSG00000278098,MIR7973-1,miRNA
ENSG00000265917,MIR3685,miRNA
ENSG00000266015,MIR4309,miRNA
ENSG00000207649,MIR138-2,miRNA
ENSG00000273606,MIR6776,miRNA
ENSG00000274822,MIR6762,miRNA
ENSG00000264902,MIR5701-3,miRNA
ENSG00000274620,MIR378J,miRNA
ENSG00000278447,MIR6781,miRNA
ENSG00000278672,MIR8059,miRNA
ENSG00000265855,MIR4514,miRNA
ENSG00000266325,MIR3665,miRNA
ENSG00000265499,MIR3156-2,miRNA
ENSG00000276181,MIR6794,miRNA
ENSG00000283416,MIR1910,miRNA
ENSG00000208027,MIR485,miRNA
ENSG00000207810,MIR519E,miRNA
ENSG00000284544,MIR330,miRNA
ENSG00000284332,MIR1302-2,miRNA
ENSG00000274816,MIR6772,miRNA
ENSG00000284542,MIR3614,miRNA
ENSG00000278450,BX248413.1,protein_coding
ENSG00000207987,MIR518E,miRNA
ENSG00000266705,MIR4437,miRNA
ENSG00000283296,MIR4256,miRNA
ENSG00000266107,MIR4525,miRNA
ENSG00000264089,MIR3681,miRNA
ENSG00000283822,MIR639,miRNA
ENSG00000284092,MIR5703,miRNA
ENSG00000276584,MIR6737,miRNA
ENSG00000278284,RDH13,protein_coding
ENSG00000284252,MIR4444-1,miRNA
ENSG00000278066,AC023491.1,pseudogene
ENSG00000276926,MIR6797,miRNA
ENSG00000283685,MIR522,miRNA
ENSG00000265376,MIR466,miRNA
ENSG00000263390,MIR3119-2,miRNA
ENSG00000284180,MIR3606,miRNA
ENSG00000275323,RPS9,protein_coding
ENSG00000278264,MIR6803,miRNA
ENSG00000284378,MIR1244-1,miRNA
ENSG00000284364,MIR6824,miRNA
ENSG00000266174,MIR4666A,miRNA
ENSG00000221808,MIR1256,miRNA
ENSG00000275818,MIR6818,miRNA
ENSG00000265306,MIR3195,miRNA
ENSG00000207930,MIR603,miRNA
ENSG00000284433,MIR1914,miRNA
ENSG00000265253,MIR4446,miRNA
ENSG00000266508,MIR3201,miRNA
ENSG00000264583,MIR4487,miRNA
ENSG00000264477,MIR5682,miRNA
ENSG00000221184,AL513534.2,miRNA
ENSG00000264119,MIR4795,miRNA
ENSG00000284575,MIR4793,miRNA
ENSG00000198987,MIR16-2,miRNA
ENSG00000264741,MIR4505,miRNA
ENSG00000263634,MIR3919,miRNA
ENSG00000221365,MIR1228,miRNA
ENSG00000278426,LENG1,protein_coding
ENSG00000266383,MIR5002,miRNA
ENSG00000275067,MIR6825,miRNA
ENSG00000221251,MIR1263,miRNA
ENSG00000283682,MIR548AH,miRNA
ENSG00000207587,MIR544A,miRNA
ENSG00000207746,MIR575,miRNA
ENSG00000283762,MIR20A,miRNA
ENSG00000263628,MIR3155A,miRNA
ENSG00000221369,MIR548G,miRNA
ENSG00000277402,MIR6891,miRNA
ENSG00000284587,MIR943,miRNA
ENSG00000199025,MIR369,miRNA
ENSG00000265902,MIR4696,miRNA
ENSG00000266583,MIR4478,miRNA
ENSG00000283840,MIR6764,miRNA
ENSG00000265135,MIR5687,miRNA
ENSG00000221630,MIR1179,miRNA
ENSG00000221325,MIR1200,miRNA
ENSG00000263670,MIR4457,miRNA
ENSG00000283359,MIR3977,miRNA
ENSG00000276878,MIR6074,miRNA
ENSG00000264136,MIR3689D2,miRNA
ENSG00000221614,MIR1185-2,miRNA
ENSG00000266807,MIR548H5,miRNA
ENSG00000212100,MIR764,miRNA
ENSG00000283343,MIR4320,miRNA
ENSG00000199015,MIR377,miRNA
ENSG00000265806,MIR4292,miRNA
ENSG00000274258,MIR6728,miRNA
ENSG00000265144,MIR548AM,miRNA
ENSG00000284329,MIR9-3,miRNA
ENSG00000265878,MIR3914-1,miRNA
ENSG00000283298,MIR4272,miRNA
ENSG00000276641,MIR6769A,miRNA
ENSG00000206609,SNORD116-11,snoRNA
ENSG00000207784,MIR542,miRNA
ENSG00000276835,MIR6127,miRNA
ENSG00000283764,MIR6850,miRNA
ENSG00000252219,MIR892C,miRNA
ENSG00000278517,MIR6865,miRNA
ENSG00000277063,MIR8084,miRNA
ENSG00000278340,MIR6862-2,miRNA
ENSG00000207609,MIR491,miRNA
ENSG00000284265,MIR4683,miRNA
ENSG00000252489,RNU6-197P,snRNA
ENSG00000284114,MIR6800,miRNA
ENSG00000222460,RN7SKP271,misc_RNA
ENSG00000200366,RNU6-511P,snRNA
ENSG00000221176,MIR1207,miRNA
ENSG00000284362,MIR519A2,miRNA
ENSG00000264163,MIR3689B,miRNA
ENSG00000283920,MIR6743,miRNA
ENSG00000283704,AP003392.15,miRNA
ENSG00000221017,MIR1323,miRNA
ENSG00000265247,MIR4472-1,miRNA
ENSG00000283591,MIR4430,miRNA
ENSG00000284157,MIR106A,miRNA
ENSG00000283429,MIR1244-3,miRNA
ENSG00000241756,RN7SL83P,misc_RNA
ENSG00000221703,MIR302E,miRNA
ENSG00000222509,AC007405.1,misc_RNA
ENSG00000200502,AL512604.1,misc_RNA
ENSG00000221760,MIR548J,miRNA
ENSG00000221081,MIR320D2,miRNA
ENSG00000208006,MIR16-1,miRNA
ENSG00000253008,MIR2355,miRNA
ENSG00000275335,MIR8088,miRNA
ENSG00000264603,MIR3159,miRNA
ENSG00000206762,RNU6-418P,snRNA
ENSG00000263573,MIR4270,miRNA
ENSG00000206858,AC116535.1,misc_RNA
ENSG00000199949,AC040170.1,misc_RNA
ENSG00000252963,RN7SKP147,misc_RNA
ENSG00000263741,MIR548AS,miRNA
ENSG00000284231,MIR424,miRNA
ENSG00000274176,CNOT3,protein_coding
ENSG00000207997,MIR644A,miRNA
ENSG00000266215,MIR3167,miRNA
ENSG00000263593,MIR4804,miRNA
ENSG00000274034,MIR6813,miRNA
ENSG00000284363,MIR224,miRNA
ENSG00000278527,AP001160.5,snoRNA
ENSG00000241230,RN7SL801P,misc_RNA
ENSG00000284585,MIR4722,miRNA
ENSG00000238558,RNU7-21P,snRNA
ENSG00000207983,MIR613,miRNA
ENSG00000200231,RNU1-23P,snRNA
ENSG00000283678,MIR6830,miRNA
ENSG00000284550,MIR8069-1,miRNA
ENSG00000252104,RNU6-191P,snRNA
ENSG00000264017,RN7SL336P,misc_RNA
ENSG00000283805,MIR636,miRNA
ENSG00000208028,MIR616,miRNA
ENSG00000274060,MIR6724-2,miRNA
ENSG00000222890,RNU6-1068P,snRNA
ENSG00000207714,MIR584,miRNA
ENSG00000252569,RNU6-1153P,snRNA
ENSG00000265156,SNORD52,snoRNA
ENSG00000199172,MIR331,miRNA
ENSG00000266890,MIR4634,miRNA
ENSG00000238597,SNORD4B,snoRNA
ENSG00000265193,MIR3923,miRNA
ENSG00000264571,MIR4529,miRNA
ENSG00000200969,AL158154.1,snoRNA
ENSG00000199219,RNU6-500P,snRNA
ENSG00000284421,MIR7110,miRNA
ENSG00000202000,RNU1-36P,snRNA
ENSG00000207577,MIR587,miRNA
ENSG00000212529,AC024561.1,snoRNA
ENSG00000207652,MIR621,miRNA
ENSG00000251908,RNU6-491P,snRNA
ENSG00000283842,MIR4751,miRNA
ENSG00000265598,MIR5707,miRNA
ENSG00000207248,RNU6-1005P,snRNA
ENSG00000221436,MIR548F3,miRNA
ENSG00000264657,MIR3171,miRNA
ENSG00000207549,MIR521-2,miRNA
ENSG00000201289,RN7SKP76,misc_RNA
ENSG00000277444,AC009951.3,misc_RNA
ENSG00000251821,RNU6-583P,snRNA
ENSG00000201943,SNORD115-10,snoRNA
ENSG00000207816,MIR124-2,miRNA
ENSG00000277888,MIR6846,miRNA
ENSG00000283944,MIR4709,miRNA
ENSG00000201170,RNU1-132P,snRNA
ENSG00000276733,MIR7158,miRNA
ENSG00000201351,AL355074.1,misc_RNA
ENSG00000285956,AC011405.2,rRNA_pseudogene
ENSG00000208013,MIR652,miRNA
ENSG00000263575,MIR4665,miRNA
ENSG00000202205,RNU6-1034P,snRNA
ENSG00000223019,RNA5SP306,rRNA_pseudogene
ENSG00000263783,MIR5590,miRNA
ENSG00000253030,MIR2116,miRNA
ENSG00000216001,MIR450B,miRNA
ENSG00000201277,AC008412.1,misc_RNA
ENSG00000200706,AL033518.1,snoRNA
ENSG00000223197,RNU6-1001P,snRNA
ENSG00000239932,RN7SL606P,misc_RNA
ENSG00000207611,MIR149,miRNA
ENSG00000200530,SNORD35B,snoRNA
ENSG00000207318,RNU6-1184P,snRNA
ENSG00000216005,MIR888,miRNA
ENSG00000283798,MIR630,miRNA
ENSG00000240713,RN7SL860P,misc_RNA
ENSG00000199564,RNA5SP502,rRNA_pseudogene
ENSG00000264580,MIR5692B,miRNA
ENSG00000277634,AL627171.2,misc_RNA
ENSG00000199407,RNA5SP301,rRNA_pseudogene
ENSG00000199840,AL158011.1,misc_RNA
ENSG00000243359,RN7SL815P,misc_RNA
ENSG00000207500,SNORD102,snoRNA
ENSG00000284343,MIR631,miRNA
ENSG00000275810,MIR8082,miRNA
ENSG00000277465,AL137067.1,misc_RNA
ENSG00000202461,AL096840.1,misc_RNA
ENSG00000222378,RNA5SP44,rRNA_pseudogene
ENSG00000283276,ABBA01000935.1,unprocessed_pseudogene
ENSG00000252169,RNA5SP200,rRNA_pseudogene
ENSG00000284385,MIR4313,miRNA
ENSG00000200118,AC023891.1,misc_RNA
ENSG00000199739,RNU6-552P,snRNA
ENSG00000264678,MIR3140,miRNA
ENSG00000251857,RNA5SP362,rRNA_pseudogene
ENSG00000277671,FP671120.3,misc_RNA
ENSG00000222445,RN7SKP56,misc_RNA
ENSG00000264115,MIR3180-4,miRNA
ENSG00000263831,MIR378E,miRNA
ENSG00000277625,AC243791.1,misc_RNA
ENSG00000212247,RNU6-278P,snRNA
ENSG00000251929,RNU6-189P,snRNA
ENSG00000206697,RNY1P8,misc_RNA
ENSG00000200486,SNORD115-11,snoRNA
ENSG00000252361,RNU6-118P,snRNA
ENSG00000222305,AL590622.1,misc_RNA
ENSG00000264005,MIR4314,miRNA
ENSG00000266318,MIR5692A1,miRNA
ENSG00000281808,AL355987.6,snoRNA
ENSG00000202089,RNU6-1306P,snRNA
ENSG00000201142,RNU1-151P,snRNA
ENSG00000283821,MIR6875,miRNA
ENSG00000200079,RNA5SP326,rRNA_pseudogene
ENSG00000252067,RNU4-71P,snRNA
ENSG00000284055,MIR4315-1,miRNA
ENSG00000240439,RN7SL91P,misc_RNA
ENSG00000212620,AC118141.1,snoRNA
ENSG00000221305,MIR548I3,miRNA
ENSG00000207972,MIR638,miRNA
ENSG00000251917,RNU1-86P,snRNA
ENSG00000201182,RNU6-670P,snRNA
ENSG00000202350,RNU6-326P,snRNA
ENSG00000207290,AC025169.1,misc_RNA
ENSG00000222624,RNU2-15P,snRNA
ENSG00000223120,RN7SKP181,misc_RNA
ENSG00000207995,MIR325,miRNA
ENSG00000207416,AP000704.1,misc_RNA
ENSG00000207837,MIR517B,miRNA
ENSG00000253027,AC092066.2,snoRNA
ENSG00000270384,RNU1-154P,snRNA
ENSG00000206990,AL451074.1,misc_RNA
ENSG00000199762,AL355353.1,misc_RNA
ENSG00000251874,RNU6-615P,snRNA
ENSG00000206792,AC002980.1,misc_RNA
ENSG00000211532,MIR526A2,miRNA
ENSG00000222713,RN7SKP51,misc_RNA
ENSG00000252366,RNA5SP367,rRNA_pseudogene
ENSG00000278413,AL159159.1,misc_RNA
ENSG00000265813,RN7SL300P,misc_RNA
ENSG00000222788,RNU2-38P,snRNA
ENSG00000276089,AL137060.6,misc_RNA
ENSG00000252064,AL135939.1,misc_RNA
ENSG00000265396,MIR3128,miRNA
ENSG00000252839,RNU6-419P,snRNA
ENSG00000199476,AC105267.1,misc_RNA
ENSG00000194297,RNU1-75P,snRNA
ENSG00000202146,AC023794.1,misc_RNA
ENSG00000242236,RN7SL594P,misc_RNA
ENSG00000277605,AL590283.1,misc_RNA
ENSG00000264623,MIR4796,miRNA
ENSG00000201292,RNU6-153P,snRNA
ENSG00000275752,CU104682.2,snRNA
ENSG00000273757,RNVU1-2A,snRNA
ENSG00000199477,SNORA31,snoRNA
ENSG00000252296,AL359641.2,snoRNA
ENSG00000275869,AC136612.1,protein_coding
ENSG00000206976,AC087441.1,snoRNA
ENSG00000253083,RNA5SP106,rRNA_pseudogene
ENSG00000206866,RNU6-187P,snRNA
ENSG00000201413,RNA5SP141,rRNA_pseudogene
ENSG00000264319,MIR4801,miRNA
ENSG00000277034,AL391095.5,snoRNA
ENSG00000239040,AC069200.2,misc_RNA
ENSG00000207166,SNORA68,snoRNA
ENSG00000199202,RNA5SP289,rRNA_pseudogene
ENSG00000199161,MIR126,miRNA
ENSG00000252025,RNU6-982P,snRNA
ENSG00000253079,NRON,misc_RNA
ENSG00000252971,RNU6-1057P,snRNA
ENSG00000195024,RNU1-15P,snRNA
ENSG00000252778,AP006442.1,scaRNA
ENSG00000207299,AP000648.1,snoRNA
ENSG00000221190,MIR1184-2,miRNA
ENSG00000207189,AC137767.1,misc_RNA
ENSG00000266263,BX927194.2,misc_RNA
ENSG00000199702,RNU6-170P,snRNA
ENSG00000252106,RNY3P15,misc_RNA
ENSG00000277577,AL353804.6,misc_RNA
ENSG00000242976,RN7SL177P,misc_RNA
ENSG00000202147,RNA5SP329,rRNA_pseudogene
ENSG00000207058,RNU6-784P,snRNA
ENSG00000252096,AL389886.1,snoRNA
ENSG00000265538,MIR4421,miRNA
ENSG00000212455,AC079802.1,snoRNA
ENSG00000252988,RNU6-111P,snRNA
ENSG00000212335,AL135998.3,misc_RNA
ENSG00000222352,RN7SKP221,misc_RNA
ENSG00000265822,MIR4422,miRNA
ENSG00000200790,RNU6-631P,snRNA
ENSG00000243035,RN7SL810P,misc_RNA
ENSG00000206989,SNORD63,snoRNA
ENSG00000200566,RNU5F-7P,snRNA
ENSG00000283272,AL354926.1,sRNA
ENSG00000253087,RNU6-1174P,snRNA
ENSG00000275935,LENG1,protein_coding
ENSG00000263476,MIR3156-1,miRNA
ENSG00000263905,RN7SL555P,misc_RNA
ENSG00000202249,RNU5E-5P,snRNA
ENSG00000199673,SNORD16,snoRNA
ENSG00000212229,AL591004.1,snoRNA
ENSG00000252112,AC104984.1,snoRNA
ENSG00000206838,SNORA5A,snoRNA
ENSG00000207280,SNORD20,snoRNA
ENSG00000201466,AP005482.1,misc_RNA
ENSG00000200677,AC021422.1,snoRNA
ENSG00000198997,MIR107,miRNA
ENSG00000200713,RNU6-682P,snRNA
ENSG00000244710,RN7SL47P,misc_RNA
ENSG00000252563,RNA5SP45,rRNA_pseudogene
ENSG00000207287,RNU6-1274P,snRNA
ENSG00000252349,AC005722.2,snoRNA
ENSG00000222095,AL132709.5,snoRNA
ENSG00000263436,MIR3158-1,miRNA
ENSG00000200613,RNA5SP349,rRNA_pseudogene
ENSG00000202124,RNY4P3,misc_RNA
ENSG00000239745,RN7SL790P,misc_RNA
ENSG00000277320,AL390239.1,misc_RNA
ENSG00000212276,RNA5SP292,rRNA_pseudogene
ENSG00000275344,MIR6503,miRNA
ENSG00000252585,AC009509.1,misc_RNA
ENSG00000212374,RNU6-401P,snRNA
ENSG00000278818,AL158801.5,misc_RNA
ENSG00000253096,AL049840.3,misc_RNA
ENSG00000266410,CR759733.1,misc_RNA
ENSG00000212609,RNU1-139P,snRNA
ENSG00000238417,RNU7-63P,snRNA
ENSG00000201032,RNU6-704P,snRNA
ENSG00000274066,MIR6514,miRNA
ENSG00000275648,AC243687.1,snoRNA
ENSG00000199634,RNU4-79P,snRNA
ENSG00000278590,RN7SL113P,misc_RNA
ENSG00000222644,RNU2-16P,snRNA
ENSG00000238370,RNU7-103P,snRNA
ENSG00000221491,SNORA2C,snoRNA
ENSG00000252237,RNU4-54P,snRNA
ENSG00000202024,RNU6-934P,snRNA
ENSG00000251980,RNU6-436P,snRNA
ENSG00000199090,MIR326,miRNA
ENSG00000275666,AC021424.1,misc_RNA
ENSG00000278050,AP000944.3,misc_RNA
ENSG00000199363,SNORA63E,snoRNA
ENSG00000202526,RNA5S13,rRNA
ENSG00000283665,MIR3974,miRNA
ENSG00000265961,AC209007.2,misc_RNA
ENSG00000201518,RNA5SP513,rRNA_pseudogene
ENSG00000264259,RNU1-116P,snRNA
ENSG00000207113,RNU6-16P,snRNA
ENSG00000243872,RN7SL464P,misc_RNA
ENSG00000276774,LENG1,protein_coding
ENSG00000253006,RN7SKP283,misc_RNA
ENSG00000221650,MIR1267,miRNA
ENSG00000244044,RN7SL735P,misc_RNA
ENSG00000252650,RNA5SP75,rRNA_pseudogene
ENSG00000200673,RN7SKP174,misc_RNA
ENSG00000280889,SNORD24,snoRNA
ENSG00000202306,AL122023.1,misc_RNA
ENSG00000222667,RNU6-394P,snRNA
ENSG00000275299,AC010492.2,snRNA
ENSG00000252186,RNU6-781P,snRNA
ENSG00000266740,MIR4708,miRNA
ENSG00000251744,AC100807.1,snoRNA
ENSG00000277119,AL049692.4,misc_RNA
ENSG00000239194,RNU1-123P,snRNA
ENSG00000244372,RN7SL423P,misc_RNA
ENSG00000202380,RNU1-55P,snRNA
ENSG00000199565,AL513523.1,misc_RNA
ENSG00000199005,MIR370,miRNA
ENSG00000275901,AC020911.3,misc_RNA
ENSG00000200275,RNA5SP199,rRNA_pseudogene
ENSG00000206716,RNU6-133P,snRNA
ENSG00000207384,AC024032.1,misc_RNA
ENSG00000265814,RN7SL376P,misc_RNA
ENSG00000207266,RNU6-1241P,snRNA
ENSG00000252268,RNA5SP417,rRNA_pseudogene
ENSG00000273570,AC007351.1,misc_RNA
ENSG00000252659,RNU6-1088P,snRNA
ENSG00000283824,MIR22,miRNA
ENSG00000251779,AC090699.1,misc_RNA
ENSG00000278469,AC005912.3,misc_RNA
ENSG00000238913,RNU7-196P,snRNA
ENSG00000275782,GU182355.6,snRNA
ENSG00000201622,RNU6-621P,snRNA
ENSG00000276784,AL353804.5,misc_RNA
ENSG00000207552,MIR633,miRNA
ENSG00000265272,RN7SL693P,misc_RNA
ENSG00000253075,RN7SKP92,misc_RNA
ENSG00000238366,AL359960.1,misc_RNA
ENSG00000242266,RN7SL456P,misc_RNA
ENSG00000251861,AL161793.2,scaRNA
ENSG00000207042,RNU6-196P,snRNA
ENSG00000284583,MIR935,miRNA
ENSG00000200060,AC087893.1,misc_RNA
ENSG00000200680,SNORD115-4,snoRNA
ENSG00000222560,RNU4-43P,snRNA
ENSG00000253059,AL137818.1,snoRNA
ENSG00000199422,VTRNA3-1P,misc_RNA
ENSG00000200090,AC021443.1,misc_RNA
ENSG00000252379,AC203639.1,snRNA
ENSG00000198973,MIR375,miRNA
ENSG00000200312,RN7SKP255,misc_RNA
ENSG00000199332,AL645933.1,misc_RNA
ENSG00000207452,RNU6-606P,snRNA
ENSG00000239820,RN7SL213P,misc_RNA
ENSG00000201426,AC092909.1,misc_RNA
ENSG00000206621,SNORD116-14,snoRNA
ENSG00000199767,RNU6-78P,snRNA
ENSG00000207176,AC087245.1,misc_RNA
ENSG00000207697,MIR573,miRNA
ENSG00000280820,LCN1P1,unprocessed_pseudogene
ENSG00000201627,AC106856.1,misc_RNA
ENSG00000212497,RNA5SP465,rRNA_pseudogene
ENSG00000223126,RN7SKP263,misc_RNA
ENSG00000287371,AL034351.5,lncRNA
ENSG00000199454,RNA5SP388,rRNA_pseudogene
ENSG00000284412,MIR4649,miRNA
ENSG00000200622,RNU6-1059P,snRNA
ENSG00000200957,RNU6-801P,snRNA
ENSG00000253047,AL356356.1,snoRNA
ENSG00000201074,AL583839.1,misc_RNA
ENSG00000274582,SNORA16A,snoRNA
ENSG00000207012,RNU6-72P,snRNA
ENSG00000206950,AC009898.1,misc_RNA
ENSG00000265423,MIR4652,miRNA
ENSG00000225091,SNORA71A,snoRNA
ENSG00000222760,RNU4-53P,snRNA
ENSG00000212384,SNORD113-2,snoRNA
ENSG00000201423,RN7SKP246,misc_RNA
ENSG00000199751,AL590763.1,misc_RNA
ENSG00000201118,AL591206.1,misc_RNA
ENSG00000221514,SNORD111B,snoRNA
ENSG00000263942,BX005441.1,snoRNA
ENSG00000273677,AL049692.1,misc_RNA
ENSG00000238399,MIR2053,miRNA
ENSG00000243346,RN7SL601P,misc_RNA
ENSG00000201282,AC211476.2,misc_RNA
ENSG00000252776,RNU4ATAC10P,snRNA
ENSG00000276260,AC012314.10,protein_coding
ENSG00000200377,AC012501.1,snoRNA
ENSG00000275257,AC243951.1,misc_RNA
ENSG00000252637,RNA5SP268,rRNA_pseudogene
ENSG00000212251,RNA5SP376,rRNA_pseudogene
ENSG00000199165,MIRLET7A1,miRNA
ENSG00000272051,AL109742.1,misc_RNA
ENSG00000277980,AC243687.4,misc_RNA
ENSG00000207101,AC027702.1,misc_RNA
ENSG00000222972,RNU6-651P,snRNA
ENSG00000222832,RNA5SP120,rRNA_pseudogene
ENSG00000207737,MIR181B2,miRNA
ENSG00000222426,RNU2-50P,snRNA
ENSG00000200976,AC004882.1,misc_RNA
ENSG00000201805,RNU6-1180P,snRNA
ENSG00000221066,SNORD111,snoRNA
ENSG00000201135,RNU6-777P,snRNA
ENSG00000252870,AP003179.1,snoRNA
ENSG00000243911,RN7SL430P,misc_RNA
ENSG00000263993,RN7SL786P,misc_RNA
ENSG00000200737,AL355490.1,misc_RNA
ENSG00000274017,AC010173.2,misc_RNA
ENSG00000264519,RN7SL596P,misc_RNA
ENSG00000253056,RNU7-128P,snRNA
ENSG00000238719,RNU7-96P,snRNA
ENSG00000200702,AC018719.1,misc_RNA
ENSG00000207422,RNU6-813P,snRNA
ENSG00000276200,RN7SL820P,misc_RNA
ENSG00000222465,RNU2-5P,snRNA
ENSG00000265013,SNORD32B,snoRNA
ENSG00000201638,RNY4P16,misc_RNA
ENSG00000222206,AC024132.2,misc_RNA
ENSG00000220986,AC010273.1,snoRNA
ENSG00000242999,RN7SL239P,misc_RNA
ENSG00000263666,SNORA70D,snoRNA
ENSG00000275254,AC004386.4,misc_RNA
ENSG00000206961,AC009967.1,snoRNA
ENSG00000200653,RNU4-92P,snRNA
ENSG00000206704,AL138785.1,misc_RNA
ENSG00000263988,RN7SL147P,misc_RNA
ENSG00000200407,RNU6-1169P,snRNA
ENSG00000201820,AL591807.2,misc_RNA
ENSG00000212520,RNU6-1250P,snRNA
ENSG00000206723,RNU6-1056P,snRNA
ENSG00000252217,AC011846.1,misc_RNA
ENSG00000223330,RNU6-1052P,snRNA
ENSG00000251698,RNA5SP445,rRNA_pseudogene
